id,course_name,date_created,school_id,public_course,category,sync_date
6900,biology569,2019-11-27 00:00:00,100,1,6,2019-11-28 00:00:00
6901,biology1049,2020-08-06 00:00:00,261,0,8,2020-08-07 00:00:00
6902,biology725,2020-03-29 00:00:00,322,0,6,2020-03-30 00:00:00
6903,biology427,2020-08-06 00:00:00,54,0,7,2020-08-07 00:00:00
6904,biology1139,2019-03-14 00:00:00,218,0,8,2019-03-15 00:00:00
6905,biology879,2019-01-04 00:00:00,568,1,6,2019-01-05 00:00:00
6906,biology1362,2019-09-18 00:00:00,78,0,0,2019-09-19 00:00:00
6907,biology584,2020-06-29 00:00:00,642,1,8,2020-06-30 00:00:00
6908,biology576,2019-09-05 00:00:00,570,0,6,2019-09-06 00:00:00
6909,biology1072,2019-12-01 00:00:00,661,0,7,2019-12-02 00:00:00
6910,biology741,2019-12-06 00:00:00,298,1,3,2019-12-07 00:00:00
6911,biology686,2019-09-28 00:00:00,260,0,2,2019-09-29 00:00:00
6912,biology949,2020-04-23 00:00:00,374,1,0,2020-04-24 00:00:00
6913,biology470,2019-07-20 00:00:00,342,0,5,2019-07-21 00:00:00
6914,biology957,2020-01-10 00:00:00,15,1,5,2020-01-11 00:00:00
6915,biology1389,2019-01-22 00:00:00,75,0,0,2019-01-23 00:00:00
6916,biology546,2019-02-01 00:00:00,807,0,2,2019-02-02 00:00:00
6917,biology395,2019-09-08 00:00:00,696,1,8,2019-09-09 00:00:00
6918,biology70,2019-06-04 00:00:00,172,0,3,2019-06-05 00:00:00
6919,biology1332,2020-04-24 00:00:00,307,1,5,2020-04-25 00:00:00
6920,biology900,2019-05-02 00:00:00,154,1,4,2019-05-03 00:00:00
6921,biology699,2019-11-15 00:00:00,266,0,6,2019-11-16 00:00:00
6922,biology1294,2020-01-26 00:00:00,251,0,7,2020-01-27 00:00:00
6923,biology475,2019-02-25 00:00:00,120,0,7,2019-02-26 00:00:00
6924,biology845,2019-03-14 00:00:00,354,0,3,2019-03-15 00:00:00
6925,biology1368,2020-05-07 00:00:00,665,1,1,2020-05-08 00:00:00
6926,biology759,2019-12-31 00:00:00,184,1,7,2020-01-01 00:00:00
6927,biology1085,2019-05-19 00:00:00,47,1,0,2019-05-20 00:00:00
6928,biology1129,2019-05-06 00:00:00,613,1,4,2019-05-07 00:00:00
6929,biology1281,2019-01-02 00:00:00,70,1,3,2019-01-03 00:00:00
6930,biology847,2020-08-18 00:00:00,324,0,5,2020-08-19 00:00:00
6931,biology431,2020-03-21 00:00:00,176,0,0,2020-03-22 00:00:00
6932,biology105,2019-04-30 00:00:00,306,1,6,2019-05-01 00:00:00
6933,biology506,2019-08-13 00:00:00,505,1,8,2019-08-14 00:00:00
6934,biology693,2019-10-28 00:00:00,842,0,0,2019-10-29 00:00:00
6935,biology1005,2019-10-21 00:00:00,732,0,4,2019-10-22 00:00:00
6936,biology74,2019-08-14 00:00:00,754,0,1,2019-08-15 00:00:00
6937,biology926,2020-05-15 00:00:00,30,1,4,2020-05-16 00:00:00
6938,biology1135,2020-06-22 00:00:00,782,1,3,2020-06-23 00:00:00
6939,biology520,2019-05-07 00:00:00,725,1,6,2019-05-08 00:00:00
6940,biology54,2020-08-11 00:00:00,264,1,7,2020-08-12 00:00:00
6941,biology444,2019-08-15 00:00:00,552,1,5,2019-08-16 00:00:00
6942,biology939,2020-08-02 00:00:00,512,1,7,2020-08-03 00:00:00
6943,biology161,2019-05-24 00:00:00,738,0,6,2019-05-25 00:00:00
6944,biology1389,2020-01-28 00:00:00,637,0,4,2020-01-29 00:00:00
6945,biology443,2019-12-27 00:00:00,229,1,8,2019-12-28 00:00:00
6946,biology249,2020-02-03 00:00:00,463,1,5,2020-02-04 00:00:00
6947,biology703,2019-02-21 00:00:00,401,1,5,2019-02-22 00:00:00
